DC,first_harmonic_amplitude,first_harmonic_frequency,first_harmonic_phase,modulation_ratio
0.05851448327302933,0.10062418133020401,0.004347825888544321,-0.1876746416091919,1.7196457386016846
0.08222675323486328,0.13631118834018707,0.004347825888544321,2.868269443511963,1.6577473878860474
0.197644904255867,0.2974880635738373,0.004347825888544321,-1.4743231534957886,1.505164384841919
0.2757245898246765,0.39703086018562317,0.004347825888544321,-1.2160550355911255,1.4399545192718506
0.0,0.0,0.0014492754125967622,1.5707963705062866,
0.17510752379894257,0.1284276247024536,0.017391303554177284,1.4667414426803589,0.7334215044975281
0.0,0.0,0.0014492754125967622,1.5707963705062866,
0.17590577900409698,0.27242207527160645,0.004347825888544321,-1.4623268842697144,1.5486817359924316
0.10199273377656937,0.16813123226165771,0.004347825888544321,-0.38040292263031006,1.6484628915786743
0.22691495716571808,0.3402732014656067,0.004347825888544321,3.600339889526367,1.4995627403259277
0.3090202212333679,0.4423139989376068,0.004347825888544321,3.256328582763672,1.4313431978225708
